drug_id	target_id	drug_target_references
DB00085	BE0004834	
DB00085	BE0004835	
DB00085	BE0004836	
DB00086	BE0000211	
DB00086	BE0000928	
DB00087	BE0000083	
DB00087	BE0000901	
DB00087	BE0002097	
DB00087	BE0000710	
DB00087	BE0002098	
DB00087	BE0002099	
DB00087	BE0002100	
DB00088	BE0004806	
DB00089	BE0000568	
DB00090	BE0004822	
DB00091	BE0000379	
DB00091	BE0002143	
DB00091	BE0001014	
DB00091	BE0001399	
DB00092	BE0000719	
DB00092	BE0002097	
DB00092	BE0000901	
DB00093	BE0000165	
DB00094	BE0000387	
DB00095	BE0000516	
DB00095	BE0009967	
DB00097	BE0000134	
DB00097	BE0000387	
DB00098	BE0000598	
DB00098	BE0003573	
DB00098	BE0000516	
DB00098	BE0000846	
DB00098	BE0002099	
DB00098	BE0003488	
DB00098	BE0003575	
DB00098	BE0003576	
DB00098	BE0001155	
DB00099	BE0000793	
DB00099	BE0000394	
DB00100	BE0000216	
DB00100	BE0001021	
DB00100	BE0000333	
DB00100	BE0000016	
DB00100	BE0000048	
DB00100	BE0002110	
DB00100	BE0000403	
DB00102	BE0000205	
DB00102	BE0000852	
DB00102	BE0000910	
DB00103	BE0004830	
DB00104	BE0010008	
DB00105	BE0000385	
DB00105	BE0000661	
DB00106	BE0000203	
DB00107	BE0000844	
DB00107	BE0000751	
DB00108	BE0000590	
DB00108	BE0000901	
DB00108	BE0001085	
DB00108	BE0000710	
DB00109	BE0000398	
DB00110	BE0000686	
DB00110	BE0000901	
DB00110	BE0002093	
DB00110	BE0002094	
DB00110	BE0002095	
DB00110	BE0002096	
DB00110	BE0002097	
DB00110	BE0000710	
DB00110	BE0002099	
DB00111	BE0000658	
DB00111	BE0000651	
DB00111	BE0000901	
DB00111	BE0002093	
DB00111	BE0002094	
DB00111	BE0002095	
DB00111	BE0002096	
DB00111	BE0002097	
DB00111	BE0000710	
DB00111	BE0002098	
DB00111	BE0002099	
DB00111	BE0002100	
DB00112	BE0000163	
DB00112	BE0002094	
DB00112	BE0002095	
DB00112	BE0002096	
DB00112	BE0002097	
DB00112	BE0000710	
DB00112	BE0002098	
DB00112	BE0002099	
DB00112	BE0002100	
DB00113	BE0000107	
DB00114	BE0000102	
DB00114	BE0000378	
DB00114	BE0000323	
DB00114	BE0000392	
DB00114	BE0000331	
DB00114	BE0000151	
DB00114	BE0000529	
DB00114	BE0000424	
DB00114	BE0000404	
DB00114	BE0000727	
DB00114	BE0000253	
DB00114	BE0000181	
DB00114	BE0000778	
DB00114	BE0000692	
DB00114	BE0000273	
DB00114	BE0000007	
DB00114	BE0000660	
DB00114	BE0000079	
DB00114	BE0000002	
DB00114	BE0000448	
DB00114	BE0000164	
DB00114	BE0000518	
DB00114	BE0000618	
DB00114	BE0000667	
DB00114	BE0000603	
DB00114	BE0000409	
DB00114	BE0000316	
DB00114	BE0000278	
DB00114	BE0000441	
DB00114	BE0000791	
DB00114	BE0000517	
DB00114	BE0000721	
DB00114	BE0002149	
DB00114	BE0000383	
DB00114	BE0002150	
DB00114	BE0000916	
DB00114	BE0002151	
DB00114	BE0002152	
DB00114	BE0002154	
DB00114	BE0002155	
DB00114	BE0002156	
DB00114	BE0002158	
DB00114	BE0002159	
DB00114	BE0002160	
DB00114	BE0002162	
DB00114	BE0002163	
DB00114	BE0004605	
DB00114	BE0004612	
DB00114	BE0002164	
DB00114	BE0002165	
DB00114	BE0000292	
DB00114	BE0000898	
DB00114	BE0002166	
DB00114	BE0002167	
DB00114	BE0002168	
DB00114	BE0002170	
DB00114	BE0000388	
DB00114	BE0002171	
DB00114	BE0002172	
DB00114	BE0002173	
DB00114	BE0002174	
DB00115	BE0000734	
DB00115	BE0000777	
DB00115	BE0000763	
DB00115	BE0000320	
DB00115	BE0002175	
DB00115	BE0002176	
DB00116	BE0000617	
DB00116	BE0000268	
DB00116	BE0000010	
DB00116	BE0000933	
DB00116	BE0000734	
DB00116	BE0000822	
DB00116	BE0001240	
DB00116	BE0000331	
DB00116	BE0000292	
DB00116	BE0002176	
DB00116	BE0002154	
DB00116	BE0002177	
DB00117	BE0000002	
DB00117	BE0000740	
DB00117	BE0000285	
DB00117	BE0000086	
DB00118	BE0000372	
DB00118	BE0000101	
DB00118	BE0000304	
DB00118	BE0000323	
DB00118	BE0000407	
DB00118	BE0002089	
DB00118	BE0008997	
DB00118	BE0005015	
DB00119	BE0000449	
DB00119	BE0000178	
DB00119	BE0000102	
DB00119	BE0000386	
DB00119	BE0000046	
DB00119	BE0000174	
DB00119	BE0000440	
DB00119	BE0000098	
DB00119	BE0000088	
DB00119	BE0000253	
DB00119	BE0000195	
DB00119	BE0000361	
DB00119	BE0000669	
DB00119	BE0000698	
DB00120	BE0000692	
DB00120	BE0000789	
DB00120	BE0000038	
DB00120	BE0000753	
DB00120	BE0000028	
DB00120	BE0000561	
DB00120	BE0000614	
DB00121	BE0000544	
DB00121	BE0000159	
DB00121	BE0000072	
DB00121	BE0000702	
DB00121	BE0000445	
DB00121	BE0000698	
DB00121	BE0000492	
DB00121	BE0000626	
DB00122	BE0000494	
DB00122	BE0000426	
DB00122	BE0000615	
DB00122	BE0002179	
DB00122	BE0002180	
DB00122	BE0002181	
DB00122	BE0002186	
DB00122	BE0002341	
DB00123	BE0000212	
DB00123	BE0000052	
DB00123	BE0000136	
DB00123	BE0000562	
DB00123	BE0000198	
DB00125	BE0000263	
DB00125	BE0000136	
DB00125	BE0000448	
DB00125	BE0000520	
DB00125	BE0000005	
DB00125	BE0000212	
DB00125	BE0000758	
DB00125	BE0000052	
DB00125	BE0000671	
DB00126	BE0001361	
DB00126	BE0004796	
DB00126	BE0001225	
DB00126	BE0002192	
DB00126	BE0002117	
DB00126	BE0002195	
DB00126	BE0002197	
DB00126	BE0000138	
DB00126	BE0002200	
DB00126	BE0002202	
DB00126	BE0002206	
DB00126	BE0002208	
DB00126	BE0000060	
DB00126	BE0002210	
DB00126	BE0002203	
DB00126	BE0002205	
DB00126	BE0002213	
DB00126	BE0002215	
DB00126	BE0000087	
DB00126	BE0002221	
DB00126	BE0002223	
DB00126	BE0002217	
DB00126	BE0002211	
DB00126	BE0002219	
DB00127	BE0000964	
DB00127	BE0000566	
DB00127	BE0004796	
DB00127	BE0000404	
DB00127	BE0000509	
DB00127	BE0000172	
DB00127	BE0000694	
DB00128	BE0003317	
DB00128	BE0003751	
DB00128	BE0000277	
DB00128	BE0000529	
DB00128	BE0000187	
DB00128	BE0000219	
DB00128	BE0000671	
DB00128	BE0000481	
DB00128	BE0000383	
DB00128	BE0000725	
DB00128	BE0000235	
DB00128	BE0000528	
DB00128	BE0002225	
DB00128	BE0002228	
DB00128	BE0001054	
DB00128	BE0000788	
DB00128	BE0002229	
DB00128	BE0002230	
DB00128	BE0009692	
DB00129	BE0000424	
DB00129	BE0000306	
DB00129	BE0000286	
DB00129	BE0000371	
DB00129	BE0000212	
DB00129	BE0000562	
DB00129	BE0000258	
DB00129	BE0000758	
DB00129	BE0000201	
DB00129	BE0000347	
DB00130	BE0000874	
DB00130	BE0000374	
DB00130	BE0002240	
DB00131	BE0000958	
DB00131	BE0004796	
DB00131	BE0000487	
DB00131	BE0000007	
DB00131	BE0000254	
DB00131	BE0001473	
DB00131	BE0001287	
DB00131	BE0000350	
DB00131	BE0000677	
DB00131	BE0000269	
DB00131	BE0000639	
DB00131	BE0002431	
DB00131	BE0003540	
DB00131	BE0004907	
DB00132	BE0000888	
DB00132	BE0002246	
DB00132	BE0000986	
DB00132	BE0001023	
DB00132	BE0000071	
DB00132	BE0001777	
DB00132	BE0001007	
DB00132	BE0000215	
DB00132	BE0000412	
DB00132	BE0009936	
DB00132	BE0009375	
DB00133	BE0000323	
DB00133	BE0000164	
DB00133	BE0000388	
DB00133	BE0000660	
DB00133	BE0000441	
DB00133	BE0000063	
DB00133	BE0000316	
DB00134	BE0000763	
DB00134	BE0000734	
DB00134	BE0001534	
DB00134	BE0000845	
DB00134	BE0002249	
DB00135	BE0000614	
DB00135	BE0000363	
DB00135	BE0000230	
DB00135	BE0000692	
DB00136	BE0000779	
DB00136	BE0008987	
DB00138	BE0000030	
DB00138	BE0000035	
DB00139	BE0002258	
DB00139	BE0000152	
DB00140	BE0000370	
DB00140	BE0003327	
DB00140	BE0000595	
DB00141	BE0000259	
DB00141	BE0002263	
DB00141	BE0002265	
DB00141	BE0002266	
DB00141	BE0000391	
DB00141	BE0000109	
DB00142	BE0000824	
DB00142	BE0000833	
DB00142	BE0000827	
DB00142	BE0000828	
DB00142	BE0000834	
DB00142	BE0000835	
DB00142	BE0002267	
DB00142	BE0002268	
DB00142	BE0002235	
DB00142	BE0000721	
DB00142	BE0000396	
DB00142	BE0000825	
DB00142	BE0000383	
DB00142	BE0000188	
DB00142	BE0000219	
DB00142	BE0002240	
DB00142	BE0000529	
DB00142	BE0000692	
DB00142	BE0000667	
DB00142	BE0000403	
DB00142	BE0001115	
DB00142	BE0000884	
DB00142	BE0001054	
DB00142	BE0000166	
DB00142	BE0002270	
DB00142	BE0000755	
DB00142	BE0000321	
DB00142	BE0000517	
DB00142	BE0000253	
DB00142	BE0000365	
DB00142	BE0000700	
DB00142	BE0002271	
DB00142	BE0000760	
DB00142	BE0000417	
DB00142	BE0000454	
DB00142	BE0002152	
DB00142	BE0002272	
DB00142	BE0002244	
DB00142	BE0002274	
DB00142	BE0000727	
DB00142	BE0000641	
DB00142	BE0002166	
DB00142	BE0000073	
DB00142	BE0000003	
DB00142	BE0002277	
DB00142	BE0000030	
DB00142	BE0004640	
DB00142	BE0000603	
DB00142	BE0000180	
DB00142	BE0000346	
DB00142	BE0000640	
DB00142	BE0000606	
DB00142	BE0000568	
DB00142	BE0000602	
DB00142	BE0000378	
DB00142	BE0000822	
DB00142	BE0000829	
DB00142	BE0000831	
DB00142	BE0000830	
DB00142	BE0000823	
DB00142	BE0000826	
DB00142	BE0000832	
DB00143	BE0002279	
DB00143	BE0001167	
DB00143	BE0002281	
DB00143	BE0002189	
DB00143	BE0002282	
DB00143	BE0002283	
DB00143	BE0000889	
DB00143	BE0001189	
DB00143	BE0002284	
DB00143	BE0001135	
DB00143	BE0002285	
DB00143	BE0002286	
DB00143	BE0001825	
DB00143	BE0002287	
DB00143	BE0002289	
DB00143	BE0002290	
DB00143	BE0002291	
DB00143	BE0002292	
DB00143	BE0000962	
DB00143	BE0001117	
DB00143	BE0000648	
DB00143	BE0000185	
DB00143	BE0000807	
DB00143	BE0000808	
DB00143	BE0000809	
DB00143	BE0000810	
DB00143	BE0000811	
DB00143	BE0000812	
DB00143	BE0000813	
DB00143	BE0000814	
DB00143	BE0000815	
DB00143	BE0000816	
DB00143	BE0000817	
DB00143	BE0000818	
DB00143	BE0000819	
DB00143	BE0000820	
DB00143	BE0000821	
DB00143	BE0000747	
DB00143	BE0000058	
DB00143	BE0002638	
DB00143	BE0009997	
DB00144	BE0002296	
DB00144	BE0002297	
DB00144	BE0002299	
DB00144	BE0002300	
DB00144	BE0002301	
DB00144	BE0001001	
DB00144	BE0001132	
DB00144	BE0001099	
DB00144	BE0000673	
DB00144	BE0000189	
DB00145	BE0000518	
DB00145	BE0000409	
DB00145	BE0000898	
DB00145	BE0000998	
DB00145	BE0000760	
DB00145	BE0002303	
DB00145	BE0002304	
DB00145	BE0000185	
DB00145	BE0000454	
DB00145	BE0002154	
DB00145	BE0002305	
DB00145	BE0000292	
DB00145	BE0002306	
DB00145	BE0002307	
DB00145	BE0000102	
DB00145	BE0002309	
DB00145	BE0000534	
DB00145	BE0000433	
DB00145	BE0000316	
DB00145	BE0000055	
DB00145	BE0000331	
DB00145	BE0000414	
DB00145	BE0000745	
DB00145	BE0000372	
DB00145	BE0000347	
DB00146	BE0000779	
DB00147	BE0000042	
DB00148	BE0000714	
DB00148	BE0000171	
DB00148	BE0000082	
DB00148	BE0000410	
DB00148	BE0000375	
DB00148	BE0000567	
DB00149	BE0000204	
DB00149	BE0000721	
DB00149	BE0000517	
DB00149	BE0000613	
DB00149	BE0000450	
DB00149	BE0000769	
DB00150	BE0002311	
DB00150	BE0001343	
DB00150	BE0000228	
DB00151	BE0000606	
DB00151	BE0000166	
DB00151	BE0000529	
DB00151	BE0000383	
DB00151	BE0000791	
DB00151	BE0000323	
DB00151	BE0000701	
DB00151	BE0001145	
DB00151	BE0000185	
DB00151	BE0002312	
DB00151	BE0000079	
DB00151	BE0000151	
DB00151	BE0000569	
DB00152	BE0000157	
DB00153	BE0000779	
DB00153	BE0004902	
DB00154	BE0000017	
DB00154	BE0000262	
DB00155	BE0000671	
DB00155	BE0000608	
DB00155	BE0000788	
DB00155	BE0000766	
DB00155	BE0000306	
DB00155	BE0000067	
DB00155	BE0000005	
DB00155	BE0000263	
DB00155	BE0002313	
DB00155	BE0002314	
DB00155	BE0002315	
DB00155	BE0002316	
DB00155	BE0001092	
DB00156	BE0000234	
DB00156	BE0002317	
DB00157	BE0000645	
DB00157	BE0000227	
DB00157	BE0000299	
DB00157	BE0000360	
DB00157	BE0000465	
DB00157	BE0000400	
DB00157	BE0000522	
DB00157	BE0000208	
DB00157	BE0000297	
DB00157	BE0000009	
DB00157	BE0000747	
DB00157	BE0000317	
DB00157	BE0000780	
DB00157	BE0000425	
DB00157	BE0000148	
DB00157	BE0000408	
DB00157	BE0000100	
DB00157	BE0000149	
DB00157	BE0000068	
DB00157	BE0000586	
DB00157	BE0000377	
DB00157	BE0000328	
DB00157	BE0000175	
DB00157	BE0000589	
DB00157	BE0000128	
DB00157	BE0000336	
DB00157	BE0000574	
DB00157	BE0000604	
DB00157	BE0000161	
DB00157	BE0000184	
DB00157	BE0000771	
DB00157	BE0000559	
DB00157	BE0000011	
DB00157	BE0000194	
DB00157	BE0000006	
DB00157	BE0000570	
DB00157	BE0000357	
DB00157	BE0000578	
DB00157	BE0000438	
DB00157	BE0000722	
DB00157	BE0000592	
DB00157	BE0000552	
DB00157	BE0000662	
DB00157	BE0000126	
DB00157	BE0000329	
DB00157	BE0000059	
DB00157	BE0000051	
DB00157	BE0000761	
DB00157	BE0000260	
DB00157	BE0000133	
DB00157	BE0000131	
DB00157	BE0000622	
DB00157	BE0000044	
DB00157	BE0000193	
DB00157	BE0000231	
DB00157	BE0000718	
DB00157	BE0000554	
DB00157	BE0000720	
DB00157	BE0000287	
DB00157	BE0000583	
DB00157	BE0000479	
DB00157	BE0000446	
DB00157	BE0000542	
DB00157	BE0000513	
DB00157	BE0000600	
DB00157	BE0000152	
DB00157	BE0000135	
DB00157	BE0000595	
DB00157	BE0000728	
DB00157	BE0000225	
DB00157	BE0000180	
DB00157	BE0000098	
DB00157	BE0000609	
DB00157	BE0000571	
DB00157	BE0000741	
DB00157	BE0000762	
DB00157	BE0000330	
DB00157	BE0000162	
DB00157	BE0000755	
DB00157	BE0000031	
DB00157	BE0000220	
DB00157	BE0000655	
DB00157	BE0000073	
DB00157	BE0000196	
DB00157	BE0000307	
DB00157	BE0000617	
DB00157	BE0000268	
DB00157	BE0000244	
DB00157	BE0000160	
DB00157	BE0000541	
DB00157	BE0000551	
DB00157	BE0000540	
DB00157	BE0000503	
DB00157	BE0000008	
DB00157	BE0000473	
DB00157	BE0000305	
DB00157	BE0000272	
DB00157	BE0000081	
DB00157	BE0000401	
DB00157	BE0000224	
DB00157	BE0000348	
DB00157	BE0000580	
DB00157	BE0000169	
DB00157	BE0000213	
DB00157	BE0000545	
DB00157	BE0000550	
DB00157	BE0000367	
DB00157	BE0000684	
DB00157	BE0000676	
DB00157	BE0000173	
DB00157	BE0000338	
DB00157	BE0000493	
DB00157	BE0000245	
DB00157	BE0000295	
DB00157	BE0000284	
DB00157	BE0000427	
DB00157	BE0000512	
DB00157	BE0000596	
DB00157	BE0000729	
DB00157	BE0000243	
DB00157	BE0000313	
DB00157	BE0000376	
DB00157	BE0000027	
DB00157	BE0000737	
DB00157	BE0000191	
DB00157	BE0000648	
DB00157	BE0000754	
DB00157	BE0000089	
DB00157	BE0000500	
DB00157	BE0000485	
DB00157	BE0000137	
DB00157	BE0000525	
DB00157	BE0000569	
DB00157	BE0000093	
DB00157	BE0000319	
DB00157	BE0000037	
DB00157	BE0000421	
DB00157	BE0000065	
DB00157	BE0000010	
DB00157	BE0000096	
DB00157	BE0000735	
DB00157	BE0000587	
DB00157	BE0000344	
DB00157	BE0000252	
DB00158	BE0000652	
DB00158	BE0000271	
DB00158	BE0003405	
DB00159	BE0000262	
DB00159	BE0000017	
DB00159	BE0000215	
DB00159	BE0001007	
DB00159	BE0000888	
DB00159	BE0000996	
DB00159	BE0000688	
DB00159	BE0000986	
DB00159	BE0001023	
DB00159	BE0000071	
DB00160	BE0000316	
DB00160	BE0000253	
DB00160	BE0000392	
DB00160	BE0002318	
DB00160	BE0002164	
DB00160	BE0002166	
DB00160	BE0000667	
DB00160	BE0000151	
DB00160	BE0000536	
DB00160	BE0000789	
DB00160	BE0000102	
DB00160	BE0000294	
DB00160	BE0000480	
DB00161	BE0000544	
DB00161	BE0000517	
DB00161	BE0000223	
DB00162	BE0000726	
DB00162	BE0002319	
DB00162	BE0000583	
DB00162	BE0002320	
DB00162	BE0002321	
DB00162	BE0000032	
DB00162	BE0002322	
DB00162	BE0002323	
DB00162	BE0000900	
DB00162	BE0000570	
DB00162	BE0000593	
DB00162	BE0000513	
DB00162	BE0000554	
DB00162	BE0005056	
DB00162	BE0009878	
DB00163	BE0000956	
DB00163	BE0000872	
DB00163	BE0000248	
DB00163	BE0001132	
DB00163	BE0002324	
DB00163	BE0002325	
DB00163	BE0002326	
DB00163	BE0000076	
DB00163	BE0000339	
DB00163	BE0000256	
DB00165	BE0000042	
DB00166	BE0000040	
DB00166	BE0002327	
DB00166	BE0000094	
DB00167	BE0002328	
DB00167	BE0000573	
DB00167	BE0000517	
DB00167	BE0000721	
DB00167	BE0000491	
DB00168	BE0001023	
DB00168	BE0000395	
DB00168	BE0000582	
DB00169	BE0000779	
DB00170	BE0000403	
DB00170	BE0000713	
DB00170	BE0002329	
DB00170	BE0000048	
DB00170	BE0000364	
DB00170	BE0000380	
DB00170	BE0000943	
DB00170	BE0000220	
DB00170	BE0001184	
DB00170	BE0000724	
DB00171	BE0000435	
DB00171	BE0001032	
DB00171	BE0001168	
DB00171	BE0001069	
DB00171	BE0000119	
DB00171	BE0000350	
DB00171	BE0000359	
DB00171	BE0000202	
DB00171	BE0000677	
DB00171	BE0000434	
DB00171	BE0000459	
DB00171	BE0000639	
DB00171	BE0000261	
DB00171	BE0000750	
DB00171	BE0000469	
DB00171	BE0000428	
DB00171	BE0000341	
DB00171	BE0000310	
DB00171	BE0000746	
DB00171	BE0000665	
DB00171	BE0000264	
DB00171	BE0000703	
DB00171	BE0000219	
DB00171	BE0000437	
DB00171	BE0000599	
DB00171	BE0000207	
DB00171	BE0000671	
DB00171	BE0000139	
DB00171	BE0000018	
DB00171	BE0000675	
DB00171	BE0000772	
DB00171	BE0000014	
DB00171	BE0000269	
DB00171	BE0003640	
DB00171	BE0001188	
DB00171	BE0000785	
DB00171	BE0001195	
DB00171	BE0002379	
DB00171	BE0001209	
DB00171	BE0005435	
DB00171	BE0005499	
DB00171	BE0003160	
DB00172	BE0002253	
DB00172	BE0002330	
DB00172	BE0002331	
DB00172	BE0002149	
DB00172	BE0000060	
DB00172	BE0002332	
DB00172	BE0001399	
DB00172	BE0002333	
DB00172	BE0001014	
DB00172	BE0002334	
DB00172	BE0002202	
DB00172	BE0002335	
DB00172	BE0002336	
DB00172	BE0002206	
DB00172	BE0002208	
DB00172	BE0004615	
DB00172	BE0002337	
DB00172	BE0000225	
DB00172	BE0000188	
DB00172	BE0000423	
DB00172	BE0000723	
DB00172	BE0000728	
DB00173	BE0000115	
DB00173	BE0002007	
DB00173	BE0000702	
DB00173	BE0003786	
DB00173	BE0002791	
DB00173	BE0002755	
DB00173	BE0002706	
DB00173	BE0004323	
DB00173	BE0002792	
DB00173	BE0004796	
DB00173	BE0001128	
DB00173	BE0001229	
DB00174	BE0000236	
DB00174	BE0002230	
DB00174	BE0002338	
DB00174	BE0000219	
DB00174	BE0000607	
DB00174	BE0009976	
DB00175	BE0000574	
DB00175	BE0002366	
DB00176	BE0000749	
DB00176	BE0000090	
DB00177	BE0000062	
DB00178	BE0000221	
DB00178	BE0005831	
DB00179	BE0000248	
DB00179	BE0000685	
DB00180	BE0000794	
DB00181	BE0000217	
DB00181	BE0002340	
DB00182	BE0000118	
DB00182	BE0000647	
DB00182	BE0000867	
DB00182	BE0001044	
DB00182	BE0000486	
DB00182	BE0004888	
DB00182	BE0004872	
DB00182	BE0000756	
DB00182	BE0002196	
DB00182	BE0000749	
DB00182	BE0004909	
DB00182	BE0008661	
DB00183	BE0001158	
DB00184	BE0000849	
DB00184	BE0002341	
DB00184	BE0000850	
DB00184	BE0000738	
DB00184	BE0003585	
DB00184	BE0003586	
DB00184	BE0003587	
DB00184	BE0002343	
DB00184	BE0000411	
DB00184	BE0003588	
DB00184	BE0003584	
DB00184	BE0002090	
DB00184	BE0000519	
DB00185	BE0000045	
DB00185	BE0000092	
DB00186	BE0004797	
DB00186	BE0008668	
DB00187	BE0000172	
DB00188	BE0002348	
DB00188	BE0002347	
DB00189	BE0004797	
DB00190	BE0002151	
DB00191	BE0000486	
DB00191	BE0000749	
DB00191	BE0000647	
DB00191	BE0002198	
DB00191	BE0002196	
DB00191	BE0003476	
DB00192	BE0000197	
DB00193	BE0000770	
DB00193	BE0000486	
DB00193	BE0000749	
DB00193	BE0000533	
DB00193	BE0000632	
DB00193	BE0000420	
DB00193	BE0003438	
DB00193	BE0000045	
DB00193	BE0000092	
DB00193	BE0000384	
DB00193	BE0002081	
DB00193	BE0001023	
DB00193	BE0004956	
DB00193	BE0000013	
DB00193	BE0004864	
DB00194	BE0000308	
DB00194	BE0004499	
DB00194	BE0000458	
DB00195	BE0000172	
DB00195	BE0000694	
DB00196	BE0000233	
DB00197	BE0000215	
DB00197	BE0000996	
DB00197	BE0000240	
DB00197	BE0001204	
DB00197	BE0002088	
DB00197	BE0003722	
DB00197	BE0001007	
DB00197	BE0000071	
DB00197	BE0000814	
DB00198	BE0000584	
DB00198	BE0000914	
DB00198	BE0003200	
DB00199	BE0004800	
DB00199	BE0003521	
DB00199	BE0000090	
DB00200	BE0000734	
DB00200	BE0000777	
DB00200	BE0000320	
DB00200	BE0000238	
DB00200	BE0000340	
DB00200	BE0000936	
DB00200	BE0002175	
DB00201	BE0000013	
DB00201	BE0000487	
DB00201	BE0000924	
DB00201	BE0000739	
DB00201	BE0004922	
DB00201	BE0002385	
